Sample_number,ID,Sample_ID,Class,SRA_accession
Sample_0406,18NS408,Shell Lake,Natural stand,SAMN22589233
Sample_0407,18NS416,Shell Lake,Natural stand,SAMN22589234
Sample_0408,18NS424,Shell Lake,Natural stand,SAMN22589235
Sample_0409,18NS432,Shell Lake,Natural stand,SAMN22589236
Sample_0410,18NS440,Shell Lake,Natural stand,SAMN22589237
Sample_0411,18NS448,Shell Lake,Natural stand,SAMN22589238
Sample_0417,18NS401,Shell Lake,Natural stand,SAMN22589239
Sample_0418,18NS409,Shell Lake,Natural stand,SAMN22589240
Sample_0419,18NS417,Shell Lake,Natural stand,SAMN22589241
Sample_0420,18NS425,Shell Lake,Natural stand,SAMN22589242
Sample_0421,18NS433,Shell Lake,Natural stand,SAMN22589243
Sample_0422,18NS441,Shell Lake,Natural stand,SAMN22589244
Sample_0423,18NS449,Shell Lake,Natural stand,SAMN22589245
Sample_0429,18NS402,Shell Lake,Natural stand,SAMN22589246
Sample_0430,18NS410,Shell Lake,Natural stand,SAMN22589247
Sample_0431,18NS418,Shell Lake,Natural stand,SAMN22589248
Sample_0432,18NS426,Shell Lake,Natural stand,SAMN22589249
Sample_0433,18NS434,Shell Lake,Natural stand,SAMN22589250
Sample_0434,18NS442,Shell Lake,Natural stand,SAMN22589251
Sample_0435,18NS450,Shell Lake,Natural stand,SAMN22589252
Sample_0441,18NS403,Shell Lake,Natural stand,SAMN22589253
Sample_0442,18NS411,Shell Lake,Natural stand,SAMN22589254
Sample_0443,18NS419,Shell Lake,Natural stand,SAMN22589255
Sample_0444,18NS427,Shell Lake,Natural stand,SAMN22589256
Sample_0445,18NS435,Shell Lake,Natural stand,SAMN22589257
Sample_0446,18NS443,Shell Lake,Natural stand,SAMN22589258
Sample_0453,18NS404,Shell Lake,Natural stand,SAMN22589259
Sample_0454,18NS412,Shell Lake,Natural stand,SAMN22589260
Sample_0455,18NS420,Shell Lake,Natural stand,SAMN22589261
Sample_0456,18NS428,Shell Lake,Natural stand,SAMN22589262
Sample_0457,18NS436,Shell Lake,Natural stand,SAMN22589263
Sample_0458,18NS444,Shell Lake,Natural stand,SAMN22589264
Sample_0095,18NS105,Upper Rice Lake,Natural stand,SAMN22589315
Sample_0096,18NS113,Upper Rice Lake,Natural stand,SAMN22589316
Sample_0097,18NS121,Upper Rice Lake,Natural stand,SAMN22589317
Sample_0098,18NS129,Upper Rice Lake,Natural stand,SAMN22589318
Sample_0099,18NS137,Upper Rice Lake,Natural stand,SAMN22589319
Sample_0100,18NS145,Upper Rice Lake,Natural stand,SAMN22589320
Sample_0107,18NS106,Upper Rice Lake,Natural stand,SAMN22589321
Sample_0108,18NS114,Upper Rice Lake,Natural stand,SAMN22589322
Sample_0109,18NS122,Upper Rice Lake,Natural stand,SAMN22589323
Sample_0110,18NS130,Upper Rice Lake,Natural stand,SAMN22589324
Sample_0111,18NS138,Upper Rice Lake,Natural stand,SAMN22589325
Sample_0112,18NS146,Upper Rice Lake,Natural stand,SAMN22589326
Sample_0119,18NS107,Upper Rice Lake,Natural stand,SAMN22589327
Sample_0120,18NS115,Upper Rice Lake,Natural stand,SAMN22589328
Sample_0121,18NS123,Upper Rice Lake,Natural stand,SAMN22589329
Sample_0122,18NS131,Upper Rice Lake,Natural stand,SAMN22589330
Sample_0123,18NS139,Upper Rice Lake,Natural stand,SAMN22589331
Sample_0124,18NS147,Upper Rice Lake,Natural stand,SAMN22589332
Sample_0131,18NS108,Upper Rice Lake,Natural stand,SAMN22589333
Sample_0132,18NS116,Upper Rice Lake,Natural stand,SAMN22589334
Sample_0133,18NS124,Upper Rice Lake,Natural stand,SAMN22589335
Sample_0134,18NS132,Upper Rice Lake,Natural stand,SAMN22589336
Sample_0135,18NS140,Upper Rice Lake,Natural stand,SAMN22589337
Sample_0136,18NS148,Upper Rice Lake,Natural stand,SAMN22589338
Sample_0141,18NS101,Upper Rice Lake,Natural stand,SAMN22589339
Sample_0142,18NS109,Upper Rice Lake,Natural stand,SAMN22589340
Sample_0143,18NS117,Upper Rice Lake,Natural stand,SAMN22589341
Sample_0144,18NS125,Upper Rice Lake,Natural stand,SAMN22589342
Sample_0145,18NS133,Upper Rice Lake,Natural stand,SAMN22589343
Sample_0146,18NS141,Upper Rice Lake,Natural stand,SAMN22589344
Sample_0147,18NS149,Upper Rice Lake,Natural stand,SAMN22589345
Sample_0152,18NS102,Upper Rice Lake,Natural stand,SAMN22589346
Sample_0153,18NS110,Upper Rice Lake,Natural stand,SAMN22589347
Sample_0154,18NS118,Upper Rice Lake,Natural stand,SAMN22589348
Sample_0155,18NS126,Upper Rice Lake,Natural stand,SAMN22589349
Sample_0156,18NS134,Upper Rice Lake,Natural stand,SAMN22589350
Sample_0157,18NS142,Upper Rice Lake,Natural stand,SAMN22589351
Sample_0158,18NS150,Upper Rice Lake,Natural stand,SAMN22589352
Sample_0163,18NS103,Upper Rice Lake,Natural stand,SAMN22589353
Sample_0164,18NS111,Upper Rice Lake,Natural stand,SAMN22589354
Sample_0165,18NS119,Upper Rice Lake,Natural stand,SAMN22589355
Sample_0166,18NS127,Upper Rice Lake,Natural stand,SAMN22589356
Sample_0167,18NS135,Upper Rice Lake,Natural stand,SAMN22589357
Sample_0168,18NS143,Upper Rice Lake,Natural stand,SAMN22589358
Sample_0174,18NS104,Upper Rice Lake,Natural stand,SAMN22589359
Sample_0175,18NS112,Upper Rice Lake,Natural stand,SAMN22589360
Sample_0176,18NS120,Upper Rice Lake,Natural stand,SAMN22589361
Sample_0177,18NS128,Upper Rice Lake,Natural stand,SAMN22589362
Sample_0178,18NS136,Upper Rice Lake,Natural stand,SAMN22589363
Sample_0179,18NS144,Upper Rice Lake,Natural stand,SAMN22589364
Sample_0803,18BL233,VE/2*14WS/*4K2EF,Breeding line,SAMN22589365
Sample_0847,18BL331,VE/2*14WS/*4K2EF,Breeding line,SAMN22589366
Sample_0653,18BL385,VN/3*K2EF,Breeding line,SAMN22589367
Sample_0665,18BL386,VN/3*K2EF,Breeding line,SAMN22589368
Sample_0677,18BL387,VN/3*K2EF,Breeding line,SAMN22589369
Sample_0689,18BL388,VN/3*K2EF,Breeding line,SAMN22589370
