,samples,ID,sample_ID_simplified,sample_ID_extended,class
979,Sample_0979,18BL436,Johnson X Dora F4,Johnson X Dora F4,Breeding line
980,Sample_0980,18BL444,Johnson X Dora F4,Johnson X Dora F4,Breeding line
981,Sample_0981,18BL452,Johnson X Dora F4,Johnson X Dora F4,Breeding line
982,Sample_0982,18BL460,Johnson X Dora F4,Johnson X Dora F4,Breeding line
983,Sample_0983,18BL468,Johnson X Dora F4,Johnson X Dora F4,Breeding line
984,Sample_0984,18BL476,Johnson X Dora F4,Johnson X Dora F4,Breeding line
985,Sample_0985,18BL484,Johnson X Dora F4,Johnson X Dora F4,Breeding line
986,Sample_0986,18BL485,Johnson X Dora F4,Johnson X Dora F4,Breeding line
987,Sample_0987,18BL493,Johnson X Dora F4,Johnson X Dora F4,Breeding line
988,Sample_0988,18BL501,Johnson X Dora F4,Johnson X Dora F4,Breeding line
989,Sample_0989,18BL509,Johnson X Dora F4,Johnson X Dora F4,Breeding line
990,Sample_0990,18BL517,Johnson X Dora F4,Johnson X Dora F4,Breeding line
991,Sample_0991,18NS571,Mud Hen Lake,Mud Hen Lake,Natural stand
992,Sample_0992,18NS575,Mud Hen Lake,Mud Hen Lake,Natural stand
993,Sample_0993,18DV001,Dovetail,DV,Breeding line
994,Sample_0994,18DV009,Dovetail,DV,Breeding line
995,Sample_0995,18BL486,Johnson X Dora F4,Johnson X Dora F4,Breeding line
996,Sample_0996,18BL494,Johnson X Dora F4,Johnson X Dora F4,Breeding line
997,Sample_0997,18BL502,Johnson X Dora F4,Johnson X Dora F4,Breeding line
998,Sample_0998,18BL510,Johnson X Dora F4,Johnson X Dora F4,Breeding line
999,Sample_0999,18BL518,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1000,Sample_1000,18NS572,Mud Hen Lake,Mud Hen Lake,Natural stand
1001,Sample_1001,18NS576,Mud Hen Lake,Mud Hen Lake,Natural stand
1002,Sample_1002,18DV002,Dovetail,DV,Breeding line
1003,Sample_1003,18DV010,Dovetail,DV,Breeding line
1004,Sample_1004,18BL487,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1005,Sample_1005,18BL495,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1006,Sample_1006,18BL503,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1007,Sample_1007,18BL511,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1008,Sample_1008,18BL519,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1009,Sample_1009,18NS573,Mud Hen Lake,Mud Hen Lake,Natural stand
1010,Sample_1010,18NS577,Mud Hen Lake,Mud Hen Lake,Natural stand
1011,Sample_1011,18DV003,Dovetail,DV,Breeding line
1012,Sample_1012,18BL488,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1013,Sample_1013,18BL496,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1014,Sample_1014,18BL504,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1015,Sample_1015,18BL512,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1016,Sample_1016,18BL520,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1017,Sample_1017,18NS574,Mud Hen Lake,Mud Hen Lake,Natural stand
1018,Sample_1018,18NS578,Mud Hen Lake,Mud Hen Lake,Natural stand
1019,Sample_1019,18DV004,Dovetail,DV,Breeding line
1020,Sample_1020,18BL489,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1021,Sample_1021,18BL497,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1022,Sample_1022,18BL505,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1023,Sample_1023,18BL513,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1024,Sample_1024,18BL521,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1025,Sample_1025,18NS579,Mud Hen Lake,Mud Hen Lake,Natural stand
1026,Sample_1026,18DV005,Dovetail,DV,Breeding line
1027,Sample_1027,18BL490,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1028,Sample_1028,18BL498,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1029,Sample_1029,18BL506,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1030,Sample_1030,18BL514,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1031,Sample_1031,18BL522,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1032,Sample_1032,18NS580,Mud Hen Lake,Mud Hen Lake,Natural stand
1033,Sample_1033,18DV006,Dovetail,DV,Breeding line
1034,Sample_1034,18BL491,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1035,Sample_1035,18BL499,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1036,Sample_1036,18BL507,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1037,Sample_1037,18BL515,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1038,Sample_1038,18BL523,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1039,Sample_1039,18BL524,Itasca Haploid,ItascaHaploid,Breeding line
1040,Sample_1040,18DV007,Dovetail,DV,Breeding line
1041,Sample_1041,18BL492,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1042,Sample_1042,18BL500,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1043,Sample_1043,18BL508,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1044,Sample_1044,18BL516,Johnson X Dora F4,Johnson X Dora F4,Breeding line
1045,Sample_1045,18BL525,Itasca Haploid,ItascaHaploid,Breeding line
1046,Sample_1046,18DV008,Dovetail,DV,Breeding line
1047,Sample_1047,FY-C20,FY-C20,FY-C20,Breeding line
1048,Sample_1048,14S-PS,14S-PS,14S-PS,Breeding line
1049,Sample_1049,GarfieldLake,Garfield Lake,Garfield Lake,Natural stand
1050,Sample_1050,Itasca-C12,Itasca-C12,Itasca-C12,Breeding line
1052,Sample_1052,NecktieLake,Necktie River,Necktie River,Natural stand
1053,Sample_1053,PM3E,PM3E,PM3E,Breeding line
1054,Sample_1054,UpperRiceLake,Upper Rice Lake,Upper Rice Lake,Natural stand
